S_NO,NEG_VALUE,LINE_Off,NO_ADDR,NO_RAIN
310113BSP012,-6.5,正常,无,
310113BAP010,-436.0,正常,无,
310113BAP004,-284.1000061035156,正常,无,
310113BAP006,-186.6999969482422,正常,无,
310113BSP013,-128.8000030517578,正常,无,
310113BAP009,-248.0,正常,无,
310113BAP005,-212.0,正常,无,
310113BSP004,-99.9000015258789,正常,无,
310113BSP014,-187.10000610351562,掉线,无,
310113BSP015,-95.0,正常,无,
310113BAP002,-395.1000061035156,正常,无,
11080003,-172.39999389648438,正常,少年村路-三号桥,PS000255
11090002,-264.1000061035156,正常,高阳路—公平路,PS000058
11090004,-334.1000061035156,正常,广中路口,QX099639
11100001,-258.0,正常,包头-中原,PS000020
11070001,-275.1000061035156,正常,兰溪路—枫桥路,QX099663
11070002,-257.29998779296875,正常,绿杨路-水杉路,PS000327
11070004,-127.0,正常,金沙江路—云岭西路,PS000310
2017050051,-391.19000244140625,正常,成都南路长乐路口,SW63425260
2017050052,-313.70001220703125,正常,宁强路汉阴路,PS000112
2017050053,-529.489990234375,正常,连亮路祁安路口,SW63425315
2017050029,-205.38999938964844,正常,昌化路长寿路,QX099646
2017050032,-105.48999786376953,正常,梅陇路天等路,PS000130
2017050042,-219.08999633789062,正常,紫云路遵义路,QX099627
2017050047,-339.69000244140625,正常,蓬莱路近中华路,QX099632
2017050048,-232.10000610351562,正常,河南南路尚文路,QX099632
2017050044,-454.489990234375,正常,小木桥路医学院路,PS000142
2017050045,-156.0,正常,斜土路西藏南路口,QX099632
2017050035,-241.10000610351562,正常,双峰路华荣路,SW63425280
2017050036,-446.6000061035156,正常,霍山路许昌路,PS000085
2017050024,-158.8000030517578,正常,梅岭北路兰溪路,QX099663
2017050025,-172.10000610351562,正常,秣陵路大统路,SW63425235
2017050017,-231.88999938964844,正常,大名路(南浔路口),PS000058
2017050018,-204.88999938964844,正常,保定路长阳路,SW63425245
2017050019,-251.10000610351562,正常,白玉路-曹杨路,PS000037
2017050009,-169.3000030517578,正常,富水路真华路,PS000328
2017050010,-164.38999938964844,正常,万镇路金鼎路,QX099648
2017050011,-170.8000030517578,正常,真南路祁连山路,PS000235
2017050014,-239.69000244140625,正常,黄陵路甘泉路,PS000116
2017050001,-171.5,正常,上大路南陈路,QX098312
2017050004,-94.0999984741211,正常,大华路行知路,PS000299
2017050028,-545.2999877929688,正常,枣阳路金沙江路,PS000114
2019300001,-315.29998779296875,低电压,东门路人民路,PS000355
2019300028,-188.89999389648438,正常,国康路四平路,PS000217
2019300013,-298.29998779296875,低电压,北苏州路山西北路,PS000006
2019300015,-521.0999755859375,正常,三泉路新泉路,PS000358
2018200032,-248.89999389648438,低电压,芷江西路共和新路,PS000007
2019300067,-363.70001220703125,正常,光新路石泉路,PS000048
2019300046,-276.70001220703125,低电压,虹漕路钦州北路,PS000134
2018200020,-219.39999389648438,正常,密云路大连西路,PS000067
2018200007,-231.6999969482422,正常,杨鑫路梅林路,PS000342
2018200008,-232.3000030517578,低电压,通南路江杨南路（西）,SW63425925
2018200055,-290.1000061035156,正常,通北路唐山路,PS000088
2018200061,-221.10000610351562,正常,真北路（农工商）,PS000189
2019300004,-169.0,低电压,尚文路河南南路,QX099632
2018200012,-169.0,正常,通河路一二八纪念路,QX099631
2018200005,-85.30000305175781,正常,宝杨路宝林路,PS000241
2018200035,-196.39999389648438,正常,环镇南路莲花路,QX098409
2018100147,-270.0,正常,东兰路与古美路,PS000174
2018100148,-610.0,正常,东兰路与莲花路,PS000146
2018100149,-400.0,正常,东兰路与万源路,PS000146
2018100150,-570.0,正常,平南路与莲花路,PS000174
2018100151,-650.0,正常,平南路与万源路,SW63423450
2018100152,-420.0,正常,申兰路新虹街道右,PS000336
2018100153,-450.0,正常,申兰路新虹街道左,PS000336
2018100154,-420.0,正常,申昆路新虹街道左,PS000336
2018100155,-400.0,正常,申昆路新虹街道右,PS000336
2018100156,-420.0,正常,七莘路新虹街道左,PS000336
2018100157,-390.0,正常,七莘路新虹街道右,PS000336
2018100158,-450.0,正常,建虹路与申兰路,PS000336
2018100159,-450.0,正常,七莘路与建虹路,PS000336
2018100160,-1330.0,正常,申贵路与申昆路,PS000336
2018100161,-655.0,正常,淮虹路与申长路,QX098423
2018100162,-325.0,正常,春申路与宝城路,QX098423
2018100163,-520.0,正常,宁虹路与申滨路,QX098423
2018100164,-420.0,正常,平吉路与万源路,PS000244
2018100165,-700.0,正常,兴虹路与申长路,QX098423
2018100166,-610.0,正常,兴虹路与申滨路,QX098423
2018100167,-515.0,正常,平吉路与莲花路,PS000244
2018100168,-250.0,正常,银都路与都市路,SW63423410
2018100169,-810.0,正常,扬虹路申长路上,PS000337
2018100170,-640.0,正常,扬虹路申长路下,PS000337
2018100171,-630.0,正常,扬虹路申虹路上,QX098423
2018100172,-570.0,正常,扬虹路申虹路下,PS000337
2018100173,-430.0,正常,苏虹路申长路左,PS000337
2018100174,-445.0,正常,苏虹路申长路右,PS000337
2018100175,-520.0,正常,衢虹路与申滨南路,PS000318
2018100176,-800.0,正常,建虹路与申长路,PS000318
2018100177,-730.0,正常,建虹路与申滨南路,PS000318
2018100178,-400.0,正常,舟虹路与申长路,PS000318
2018100179,-390.0,正常,舟虹路与申滨南路,PS000318
2018100180,-475.0,正常,甬虹路与申长路,PS000318
2018100181,-355.0,正常,兰虹路与申贵路,PS000318
2018100182,-220.0,正常,沪闵路与报春路,PS000243
2018100183,-317.0,正常,虹莘路与报春路,QX058361
2018100184,-187.0,正常,虹莘路与疏影路,PS000243
2018100185,-305.0,正常,剑川路与碧溪路,PS000178
2018100186,-360.0,正常,古永路与天星路,PS000178
2018100187,-390.0,正常,大姚路与元阳路,SW63404400
2018100188,-490.0,正常,东川路与绿春路,PS000178
2018100189,-540.0,正常,东川路与文井路,PS000178
2018100190,-340.0,正常,南谷路与文井路,PS000178
2018100191,-390.0,正常,南谷路与绿春路,PS000178
2018100192,-310.0,正常,大关路与文井路,PS000178
2018100193,-305.0,正常,大姚路与文井路,SW63404400
2019300059,-226.8000030517578,低电压,虹莘路古龙路,QX098424
2019300063,-259.29998779296875,低电压,古龙路合川路,PS000244
2018200039,-201.1999969482422,正常,交通西路中华新路,PS000045
11120003,-301.5,正常,龙吴路—宝秀路,SW63423470
2019200005,-63.099998474121094,正常,宝林路近红黄蓝幼儿园,QX098301
2018200022,-335.3999938964844,正常,天宝路新港路,QX099638
2018200060,-249.89999389648438,低电压,剑河路龙溪路,SW63425285
2018200003,-105.30000305175781,正常,水产路松兰路,PS000253
2019300012,-430.6000061035156,低电压,东体育会路甘河路,QX099643
2019300007,-245.39999389648438,低电压,临汾路江杨南路,PS000117
2019300042,-173.0,正常,百花街桂平支路,PS000174
2019300062,-188.5,低电压,平南路古美路,PS000174
2019300049,-214.89999389648438,低电压,龙腾大道龙耀路,PS000135
2019300054,-202.1999969482422,低电压,申昆路高虹路,PS000336
2019300071,-254.3000030517578,低电压,沪太支路平遥路,PS000299
2017050012,-125.0,正常,灵石路南华苑路,QX099645
2019300047,-166.60000610351562,低电压,申滨南路绍虹路,PS000337
2019300061,-157.6999969482422,低电压,东川路S4（沪金高速）,PS000177
2018200046,-527.5999755859375,正常,龙兰路云锦路,PS000141
2019300011,-93.0,低电压,双庆路永乐路,QX080012
2018200056,-230.3000030517578,正常,国顺东路沙岗路,PS000092
2019300031,-207.0,低电压,水产路铁峰路,SW63439004
2019300020,-186.3000030517578,低电压,宁波路河南中路西侧,SW63425220
2019300024,-116.0,正常,安达路安淞路,PS000097
2018200010,-360.0,正常,阳泉路保德路,PS000287
2018200006,-128.89999389648438,正常,长江西路康宁路,QX098302
2018200013,-183.8000030517578,正常,呼兰路近西泗塘,SW63439088
2018200002,-111.19999694824219,低电压,宝杨路铁力路,PS000241
2017050054,-244.8000030517578,低电压,水城南路延安西路,SW63425270
2018200063,-225.3000030517578,低电压,娄山关路茅台路,QX099627
2018200045,-194.60000610351562,正常,龙川北路罗城路,PS000238
2018200051,-215.0,正常,军工路浚浦局路,PS000020
2018200057,-311.79998779296875,正常,共青路海安路,PS000077
2019300041,-301.3999938964844,低电压,龙田路凯旋南路,SW63425280
2017050015,-161.89999389648438,正常,府村路礼泉路,PS000236
2017050026,-415.0,正常,河南北路海宁路,SW63425265
2017050027,-210.6999969482422,正常,襄阳北路长乐路,QX099636
2017050007,-259.29998779296875,正常,丰宝路丰翔路,PS000293
2017050008,-131.39999389648438,正常,银杏路白丽路,PS000327
2017050043,-96.5999984741211,正常,秀山路乐山路路口,QX058367
11130001,-99.4000015258789,正常,无,
2019200004,-158.6999969482422,正常,古莲路与塔源路交叉口,QX098306
2018100119,-385.0,正常,古美西路与虹莘路,PS000243
2018100120,-460.0,正常,平阳路与虹莘路,PS000243
2018100121,-250.0,正常,金辉路与运乐路,QX098410
2018100122,-420.0,正常,金丰路与幸乐路,QX098410
2018100123,-300.0,正常,金丰路与保乐路,QX098410
2018100124,-340.0,正常,古龙路与万源路,PS000244
2018100125,-560.0,正常,古龙路与莲花路,PS000174
2018100126,-195.0,正常,古龙路与古美路,PS000174
2018100127,-400.0,正常,顾戴路与古美路,PS000228
2018100128,-540.0,正常,顾戴路与莲花路,PS000228
2018100129,-540.0,正常,顾戴路与万源路,PS000244
2018100130,-620.0,正常,平阳路与莲花路,PS000228
2018100131,-355.0,正常,平阳路与古美路,PS000228
2018100132,-390.0,正常,古龙路虹莘路,QX098424
2018100133,-260.0,正常,古龙路龙茗路,QX098424
2018100134,-555.0,正常,平吉路虹莘路,PS000244
2018100135,-550.0,正常,平吉路龙茗路,PS000244
2018100136,-255.0,正常,航华路航东路,SW63423430
2018100137,-505.0,正常,航中路航北路,SW63423430
2018100138,-570.0,正常,航新路航北路,SW63423430
2018100139,-770.0,正常,航南路航新路,SW63423430
2018100140,-450.0,正常,航南路航中路,SW63423430
2018100141,-395.0,正常,航南路航东路,SW63423430
2018100142,-315.0,正常,益梅路与龙里路,PS000228
2018100143,-355.0,正常,上中西路与龙里路,QX098425
2018100144,-125.0,正常,上中西路与莲花南路,PS000228
2018100145,-405.0,正常,罗秀路与龙里路,QX098425
2018100146,-235.0,正常,梅陇西路与罗秀路,PS000228
2017050013,-272.5,正常,宜君路黄陵路,PS000116
2017050022,-223.8000030517578,正常,新郁路金沙江支路,PS000310
2017050023,-457.79998779296875,正常,同普路中江路,QX099647
11090001,-147.27999877929688,正常,临平北路—物华路,PS000062
2017050016,-251.1999969482422,正常,怒江北路泸定路,PS000115
2018200001,-196.6999969482422,正常,铁山路铁通路,QX058362
2019300014,-262.8999938964844,低电压,横浜路天通庵路,PS000270
2018200048,-214.0,正常,吉浦路三门路,PS000049
2019300032,-280.1000061035156,低电压,粤秀路汶水支路,SW63439087
2018200036,-172.60000610351562,正常,田林路古美路,PS000138
11100003,-386.3900146484375,正常,武东路路口,PS000028
11100005,-103.30000305175781,正常,斗台街路口,SW63404770
